year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1993,Supporting Actress,In the Name of the Father,Emma Thompson,0.0,0.0,0.0,0.0,133,65800000.0,8.1,95.0,94.0,0,1,0,0,0,1,0,0,0
1994,Supporting Actress,Bullets over Broadway,Dianne Wiest,0.0,0.0,1.0,1.0,98,13400000.0,7.5,83.0,96.0,1,1,0,0,0,1,0,0,0
1994,Supporting Actress,Tom and Viv,Rosemary Harris,0.0,0.0,0.0,0.0,115,538534.0,6.5,61.0,33.0,0,0,0,1,0,0,0,0,1
1994,Supporting Actress,The Madness of King George,Helen Mirren,0.0,0.0,0.0,0.0,110,15200000.0,7.2,80.0,93.0,0,0,0,1,0,0,0,0,1
1994,Supporting Actress,Pulp Fiction,Uma Thurman,0.0,0.0,0.0,0.0,154,213900000.0,8.9,96.0,94.0,1,1,0,0,0,0,0,0,1
1994,Supporting Actress,Bullets over Broadway,Jennifer Tilly,0.0,0.0,0.0,0.0,98,13400000.0,7.5,83.0,96.0,1,1,0,0,0,1,0,0,0
1995,Supporting Actress,Mighty Aphrodite,Mira Sorvino,0.0,1.0,0.0,1.0,95,26000000.0,7.1,73.0,77.0,1,1,0,0,0,0,0,0,1
1995,Supporting Actress,Nixon,Joan Allen,0.0,0.0,0.0,0.0,192,13700000.0,7.1,74.0,75.0,1,1,0,0,0,1,0,0,0
1995,Supporting Actress,Apollo 13,Kathleen Quinlan,0.0,0.0,0.0,0.0,140,355200000.0,7.6,87.0,95.0,1,0,1,0,0,0,1,0,0
1995,Supporting Actress,Georgia,Mare Winningham,0.0,0.0,0.0,0.0,115,1110104.0,6.5,66.0,80.0,1,1,0,0,0,0,0,0,1
1995,Supporting Actress,Sense and Sensibility,Kate Winslet,1.0,0.0,1.0,0.0,136,134993774.0,7.7,90.0,98.0,0,0,1,0,0,1,0,0,0
1996,Supporting Actress,The English Patient,Juliette Binoche,1.0,0.0,0.0,1.0,162,232000000.0,7.4,83.0,84.0,0,1,0,0,0,0,0,0,1
1996,Supporting Actress,The Crucible,Joan Allen,0.0,0.0,0.0,0.0,123,7343114.0,6.8,66.0,67.0,1,0,0,1,0,0,0,0,1
1996,Supporting Actress,The Mirror Has Two Faces,Lauren Bacall,0.0,1.0,1.0,0.0,126,91610201.0,6.5,72.0,53.0,1,0,0,1,0,0,0,0,1
1996,Supporting Actress,The Portrait of a Lady,Barbara Hershey,0.0,0.0,0.0,0.0,142,3700000.0,6.3,52.0,43.0,0,0,0,1,0,1,0,0,0
