year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
1995,Original Screenplay,Nixon,Christopher Wilkinson,0,0,0,0,192,13700000,7.1,74,75,1,1,0,0,0,1,0,0,0
1995,Original Screenplay,Toy Story,Joss Whedon,0,0,0,0,81,373600000,8.3,92,100,1,0,0,0,1,0,0,0,1
1996,Original Screenplay,Fargo,Joel Coen and Ethan Coen,0,0,0,1,98,60600000,8.1,93,94,0,1,0,0,0,0,1,0,0
1996,Original Screenplay,Jerry Maguire,Cameron Crowe,0,0,0,0,138,273600000,7.3,79,82,1,1,0,0,0,0,0,0,1
1996,Original Screenplay,Lone Star,John Sayles,0,0,0,0,135,12408986,7.6,83,93,1,1,0,0,0,0,1,0,0
1996,Original Screenplay,Secrets and Lies,Mike Leigh,1,0,0,0,142,13417292,8,91,94,0,1,0,0,0,1,0,0,0
1996,Original Screenplay,Shine,Jan Sardi,0,0,0,0,105,35900000,7.7,90,91,0,0,0,1,0,1,0,0,0
1997,Original Screenplay,Good Will Hunting,Ben Affleck,0,0,0,1,126,225900000,8.3,94,97,1,1,0,0,0,1,0,0,0
1997,Original Screenplay,As Good as It Gets,Mark Andrus,0,0,0,0,139,314178011,7.7,86,86,1,0,0,1,0,0,0,0,1
1997,Original Screenplay,Boogie Nights,Paul Thomas Anderson,0,0,0,0,155,43100000,7.9,89,92,1,1,0,0,0,0,0,0,1
1997,Original Screenplay,Deconstructing Harry,Woody Allen,0,0,0,0,96,10569071,7.4,82,71,1,1,0,0,0,1,0,0,0
1997,Original Screenplay,The Full Monty,Simon Beaufoy,0,0,0,0,91,258000000,7.2,79,95,0,1,0,0,0,0,0,1,0
1998,Original Screenplay,Shakespeare in Love,Marc Norman,0,1,0,1,123,289300000,7.2,80,92,1,1,0,0,0,1,0,0,0
1998,Original Screenplay,Bulworth,Warren Beatty,0,0,0,0,108,29200000,6.8,67,75,1,1,0,0,0,0,1,0,0
1998,Original Screenplay,Life Is Beautiful,Roberto Benigni,0,0,0,0,116,229200000,8.6,96,80,0,0,0,1,0,1,0,0,0
1998,Original Screenplay,Saving Private Ryan,Robert Rodat,0,0,0,0,169,481800000,8.6,95,92,1,1,0,0,0,0,0,1,0
1998,Original Screenplay,The Truman Show,Andrew Niccol,1,0,0,0,103,264100000,8.1,88,94,1,0,1,0,0,0,1,0,0
1999,Original Screenplay,American Beauty,Alan Ball,0,1,0,1,122,356300000,8.4,93,88,1,1,0,0,0,0,0,0,1
1999,Original Screenplay,Being John Malkovich,Charlie Kaufman,1,0,0,0,112,32400000,7.8,87,93,1,1,0,0,0,0,0,0,1
1999,Original Screenplay,Magnolia,Paul Thomas Anderson,0,0,0,0,188,48500000,8,89,84,1,1,0,0,0,1,0,0,0
1999,Original Screenplay,The Sixth Sense,M. Night Shyamalan,0,0,0,0,107,672800000,8.1,89,85,1,0,0,1,0,0,0,1,0
1999,Original Screenplay,Topsy-Turvy,Mike Leigh,0,0,0,0,160,6200000,7.4,79,89,0,1,0,0,0,1,0,0,0
2000,Original Screenplay,Almost Famous,Cameron Crowe,1,0,0,1,122,47400000,7.9,92,89,1,1,0,0,0,0,0,1,0
2000,Original Screenplay,Billy Elliot,Lee Hall,0,0,0,0,110,72853509,7.7,89,85,0,1,0,0,0,0,0,0,1
2000,Original Screenplay,Erin Brockovich,Susannah Grant,0,0,0,0,130,256300000,7.3,80,84,1,1,0,0,0,1,0,0,0
2000,Original Screenplay,Gladiator,David Franzoni,0,0,0,0,155,457600000,8.5,87,76,0,1,0,0,0,0,1,0,0
2000,Original Screenplay,You Can Count On Me,Kenneth Lonergan,0,0,0,0,111,11000000,7.7,88,95,1,1,0,0,0,0,0,0,1
2001,Original Screenplay,Gosford Park,Julian Fellowes,0,0,0,1,137,87800000,7.3,78,86,0,1,0,0,0,1,0,0,0
2001,Original Screenplay,Amlie,Jean-Pierre Jeunet,0,0,0,0,123,173900000,8.4,95,89,0,1,0,0,0,1,0,0,0
2001,Original Screenplay,Memento,Christopher Nolan,0,0,0,0,113,39700000,8.5,94,92,1,1,0,0,0,0,1,0,0
2001,Original Screenplay,Monster's Ball,Addica !Milo Addica Rokos !Will Rokos,0,0,0,0,111,44909486,7.1,67,85,1,1,0,0,0,1,0,0,0
2001,Original Screenplay,The Royal Tenenbaums,Wes Anderson,0,0,0,0,109,71400000,7.6,89,80,1,1,0,0,0,1,0,0,0
2002,Original Screenplay,Talk to Her,Pedro Almodvar,0,0,0,1,112,51001550,8,93,92,0,1,0,0,0,1,0,0,0
2002,Original Screenplay,Far from Heaven,Todd Haynes,0,0,0,0,107,29000000,7.4,79,87,1,0,0,1,0,1,0,0,0
2002,Original Screenplay,Gangs of New York,Jay Cocks,0,0,0,0,168,193700000,7.5,81,75,1,1,0,0,0,0,0,0,1
2002,Original Screenplay,My Big Fat Greek Wedding,Nia Vardalos,0,0,0,0,95,368700000,6.6,73,76,0,0,1,0,0,0,0,1,0
2002,Original Screenplay,Y Tu Mam Tambin,Alfonso Cuarn,0,0,0,0,106,33616692,7.7,88,92,0,1,0,0,0,0,1,0,0
2003,Original Screenplay,Lost in Translation,Sofia Coppola,0,1,0,1,101,119700000,7.8,86,95,1,1,0,0,0,0,0,0,1
